,b1,a2,b2,RatioTotalArea,frac,Nc
2510,0.16666666666666666,0.01,0.0005,0.2356210198155613,0.1,3.50907
22627,0.0005,0.4,0.008,0.009126326658678349,0.9,8.042639999999999
23156,0.0005,0.05,5e-05,8.560839981032185e-05,0.9,54.4445
34172,0.05555555555555555,0.5,0.0125,0.04668755749084831,0.6,4.94745
59557,0.0625,0.15,0.0075,0.004480696522182442,0.99,52.00315088
37924,0.01,0.4,0.04,0.029530970943744062,0.4,5.98486
55615,0.07142857142857142,0.35,0.0007,0.006341192571533374,0.95,10.5831
14752,0.0125,0.3,0.06,0.030709068188840224,0.3,6.3042300000000004
21384,0.005,0.25,0.0025,0.002552544031041707,0.9,17.4267
61305,0.05,0.15,0.016666666666666666,0.008560839981032187,0.99,46.75030834
41,0.5,0.45,0.1125,0.7227626598665018,0.1,1.5424799999999999
15960,0.005,0.005,0.0005555555555555557,0.007461718884588756,0.05,5.8037199999999975
50381,0.08333333333333333,0.4,0.05714285714285715,0.08362620444555688,0.8,5.91904
30332,0.07142857142857142,0.35,0.05,0.08358880453301414,0.5,5.74894
38635,0.025,0.1,0.0025,0.01233075116533994,0.7,16.0256
13077,0.025,0.005,0.0005555555555555557,0.02749155371278868,0.3,7.23025
36359,0.016666666666666666,0.35,0.175,0.10930124440614487,0.5,5.06455
11731,0.03333333333333333,0.45,0.01125,0.04506876460962358,0.2,5.15846
40145,0.0025,0.025,0.005,0.0025132741228718345,0.4,9.28708
32050,0.07142857142857142,0.25,0.03571428571428571,0.05329487537339828,0.7,9.20079
5811,0.08333333333333333,0.3,0.01,0.12482594810263445,0.05,4.23424
36981,0.03333333333333333,0.25,0.08333333333333333,0.06152285613280011,0.7,8.69536
25198,0.5,0.005,0.0003333333333333333,0.2356231142106637,0.7,4.78774
25861,0.25,0.01,0.0025,0.19638881075753195,0.5,5.05218
31808,0.07142857142857142,0.2,0.01,0.04864980623559051,0.6,9.05818
9015,0.05,0.5,0.0025,0.07107853378746908,0.1,4.65975
30,0.5,0.5,0.0125,0.5556692006036946,0.3,1.8098
61909,0.05555555555555555,0.1,0.00125,0.0012614367168789025,0.99,116.6752118
47348,0.25,0.5,0.0005,0.039976766516930114,0.9,4.90939
36128,0.05,0.05,0.00625,0.024249168294896217,0.7,15.1398
33030,0.0625,0.5,0.5,0.5792311455056182,0.7,1.7848400000000002
27334,0.16666666666666666,0.025,0.025,0.07991426312569036,0.7,10.475999999999999
15218,0.01,0.01,0.005,0.012597786540895071,0.2,6.7427800000000016
10904,0.025,0.005,0.0025,0.03730837625678728,0.05,5.33023
37650,0.0125,0.05,0.05,0.013744467859455343,0.5,10.4778
26681,0.16666666666666666,0.005,0.0001,0.15708026099802033,0.4,5.26278
5860,0.08333333333333333,0.025,0.025,0.1051124542013585,0.2,5.09576
21032,0.01,0.4,0.05714285714285715,0.06619784520064208,0.9,6.4813800000000015
28261,0.125,0.025,0.00125,0.07859872120199964,0.6,8.91564
24750,0.5,0.05,0.05,0.39662607251571136,0.5,2.86155
49544,0.25,0.3,0.0003,0.004206906722422096,0.99,14.9433
56894,0.0025,0.05,0.0005,0.0008482300164692441,0.8,27.4691
44476,0.0025,0.2,0.025,0.01217367153266045,0.7,13.1094
24871,0.5,0.05,0.005555555555555557,0.2362303142574325,0.7,4.7718300000000005
36888,0.016666666666666666,0.005,0.005,0.013129239298127343,0.5,10.484000000000002
15196,0.00625,0.01,5e-05,0.009326681730161036,0.05,5.76904
13075,0.016666666666666666,0.01,0.0014285714285714286,0.02095292700294221,0.2,6.54603
44484,0.0025,0.2,0.013333333333333334,0.00704240353179712,0.7,13.602
19219,0.0005,0.05,0.025,0.000942477796076938,0.05,5.91665
27018,0.16666666666666666,0.01,0.0033333333333333327,0.10478258697273156,0.6,7.8959699999999975
34372,0.03333333333333333,0.45,0.05,0.059690260418206076,0.4,5.13765
7271,0.07142857142857142,0.01,0.0016666666666666668,0.07855552430301277,0.3,6.07176
59463,0.05555555555555555,0.05,0.0025,0.0012614367168789025,0.99,303.8409922
27991,0.125,0.3,0.0075,0.12063715789784805,0.4,5.11653
7130,0.0625,0.4,0.02,0.09087056750508476,0.1,4.59123
48843,0.16666666666666666,0.01,0.00025,0.02618700736338551,0.9,31.5573
35817,0.016666666666666666,0.05,0.0125,0.016493361431346408,0.4,8.70072
59242,0.0625,0.005,2.5e-05,0.000982136476337693,0.99,437.8411078
42062,0.0005,0.1,0.01,0.0017278759594743865,0.4,9.20167
20669,0.0005,0.2,0.02,0.004319689898685966,0.3,7.5155699999999985
58178,0.1,0.35,0.02333333333333333,0.026970572931068373,0.99,9.843440654
47164,0.5,0.35,0.004375,0.1609280836801371,0.8,4.69557
21861,0.001,0.025,0.003125,0.000377972866135022,0.9,55.7858
10492,0.05,0.1,0.0025,0.05521349088684061,0.3,6.5019300000000015
38050,0.025,0.5,0.001,0.012880529879718152,0.7,5.42992
39381,0.005,0.05,0.00025,0.004728096943652639,0.4,9.16452
6437,0.07142857142857142,0.05,0.0025,0.10101903377355607,0.1,4.7173300000000005
8083,0.0625,0.1,0.016666666666666666,0.07958701389094143,0.2,5.44415
43934,0.005,0.15,0.03,0.012252211349000192,0.7,14.8791
46816,0.5,0.25,0.041666666666666664,0.04025165587411923,0.99,15.1624
26632,0.25,0.5,0.005,0.16179202165987436,0.6,3.61116
60006,0.00625,0.005,6.25e-05,9.914670065188548e-05,0.99,548.654672
5409,0.08333333333333333,0.05,0.000625,0.11781954198665973,0.1,4.53024
21399,0.016666666666666666,0.2,0.2,0.11571532940722408,0.9,8.32363
35731,0.025,0.025,0.004166666666666668,0.019798578702310686,0.5,10.1071
365,0.5,0.025,0.025,0.7070546965985528,0.1,1.59521
54160,0.05555555555555555,0.01,0.0033333333333333327,0.008820894039579339,0.9,44.9632
24947,0.5,0.005,6.25e-05,0.31415985440760186,0.6,3.59365
47343,0.5,0.1,0.02,0.04523893421169305,0.95,24.7699
61433,0.03333333333333333,0.1,0.016666666666666666,0.0057072266540214595,0.99,91.00509518
39153,0.0125,0.05,0.0005,0.00790110552377833,0.6,13.2616
4824,0.1,0.025,0.008333333333333333,0.11015209241649213,0.3,5.51299
46369,0.0025,0.45,0.225,0.3023782929080176,0.95,3.17351
34856,0.025,0.025,0.0027777777777777783,0.023649211364523158,0.4,8.434560000000001
50052,0.1,0.45,0.03,0.05387831400906496,0.9,5.71127
37944,0.01,0.45,0.1125,0.0730420291959627,0.4,4.86678
35656,0.03333333333333333,0.01,0.00125,0.020967512968833882,0.6,12.2287
61638,0.001,0.35,0.006999999999999999,0.00763564094454999,0.99,10.91228952
41028,0.0125,0.15,0.0003,0.0059894463940689405,0.7,15.4812
10643,0.03333333333333333,0.15,0.0015,0.04977722659919127,0.05,5.13962
17921,0.005,0.4,0.02666666666666667,0.012985249634837815,0.2,5.8446
59325,0.0625,0.4,0.08,0.10050740296997146,0.99,6.0093528670000005
14539,0.0125,0.45,0.45,0.2045962215650353,0.3,3.21122
25852,0.25,0.2,0.05,0.1398008730847458,0.7,6.887389999999999
36250,0.016666666666666666,0.5,0.025,0.03272492347489368,0.5,5.14799
49935,0.08333333333333333,0.01,0.0001,0.02618245205403781,0.8,20.3977
23450,0.025,0.005,0.0003333333333333333,0.0019684695968618065,0.95,101.34200000000001
32292,0.05555555555555555,0.5,0.0125,0.05345070834232634,0.5,4.8654
14231,0.0125,0.01,2e-05,0.01570808893165511,0.2,6.6685300000000005
